,DBA,CUISINE DESCRIPTION,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
30075445,MORRIS PARK BAKE SHOP,Bakery,Bronx,1007,MORRIS PARK AVE,10462.0,40.848231224526,-73.85597188993201,211.0,13.0,25200.0,2045445.0,2041270037.0,BX37
30112340,WENDY'S,Hamburgers,Brooklyn,469,FLATBUSH AVENUE,11225.0,40.662651518808,-73.962081374927,309.0,40.0,32700.0,3029737.0,3011970017.0,BK60
30191841,DJ REYNOLDS PUB AND RESTAURANT,Irish,Manhattan,351,WEST   57 STREET,10019.0,40.767325711553,-73.984310423617,104.0,3.0,13900.0,1026048.0,1010480008.0,MN15
40356018,RIVIERA CATERERS,American,Brooklyn,2780,STILLWELL AVENUE,11224.0,40.579920366974,-73.98209024916,313.0,47.0,34800.0,3347399.0,3069970098.0,BK21
40356151,BRUNOS ON THE BOULEVARD,American,Queens,8825,ASTORIA BOULEVARD,11369.0,40.76397135266,-73.880973144074,403.0,22.0,32900.0,4024132.0,4011000037.0,QN28
40356483,WILKEN'S FINE FOOD,Delicatessen,Brooklyn,7114,AVENUE U,11234.0,40.620111590927,-73.906989489698,318.0,46.0,70000.0,3237693.0,3084310041.0,BK45
40356731,TASTE THE TROPICS ICE CREAM,"Ice Cream, Gelato, Yogurt, Ices",Brooklyn,1839,NOSTRAND AVENUE,11226.0,40.640795017461,-73.948487981531,317.0,45.0,82800.0,3112318.0,3049640001.0,BK95
40357217,WILD ASIA,American,Bronx,2300,SOUTHERN BOULEVARD,10460.0,40.850555961413,-73.882451432726,206.0,15.0,33400.0,2116700.0,2031200020.0,BX99
40359480,1 EAST 66TH STREET KITCHEN,American,Manhattan,1,EAST   66 STREET,10065.0,40.768546914232004,-73.969580578452,108.0,4.0,12200.0,1041159.0,1013810001.0,MN40
40359705,NATHAN'S FAMOUS,Hotdogs,Brooklyn,1310,SURF AVENUE,11224.0,40.575536869421,-73.981652264112,313.0,47.0,35200.0,3189660.0,3070740340.0,BK21
40360045,SEUDA FOODS,Jewish/Kosher,Brooklyn,705,KINGS HIGHWAY,11223.0,40.606186921432,-73.965466445897,315.0,44.0,41800.0,3177501.0,3066640028.0,BK25
40360076,CARVEL ICE CREAM,"Ice Cream, Gelato, Yogurt, Ices",Brooklyn,203,CHURCH AVENUE,11218.0,40.643329721911,-73.978188715503,312.0,39.0,49600.0,3124566.0,3053350041.0,BK41
40361322,CARVEL ICE CREAM,"Ice Cream, Gelato, Yogurt, Ices",Queens,26515,HILLSIDE AVENUE,11004.0,40.738367959933,-73.70351064970299,413.0,23.0,157901.0,4179545.0,4087770025.0,QN44
40361618,SAL'S DELI,Delicatessen,Queens,12908,20 AVENUE,11356.0,40.781673836068,-73.83941597683099,407.0,19.0,90700.0,4099345.0,4041740023.0,QN23
40361998,STEVE CHU'S DELI & GROCERY,Delicatessen,Queens,3406,10 STREET,11106.0,40.764571212477996,-73.938825461701,401.0,26.0,3900.0,4003862.0,4003240031.0,QN68
40362264,P & S DELI GROCERY,American,Manhattan,730,COLUMBUS AVENUE,10025.0,40.792620635885,-73.96770961573002,107.0,6.0,18100.0,1082743.0,1012260029.0,MN12
40362274,ANGELIKA FILM CENTER,American,Manhattan,18,WEST HOUSTON STREET,10012.0,40.725743617441,-73.997478107592,102.0,1.0,5501.0,1008240.0,1005230048.0,MN23
40362432,HO MEI RESTAURANT,Chinese,Queens,10305,37 AVENUE,11368.0,40.753305911581,-73.864295375778,403.0,21.0,37900.0,4043399.0,4017450030.0,QN26
40362715,THE COUNTRY CAFE,Sandwiches/Salads/Mixed Buffet,Manhattan,60,WALL STREET,10005.0,40.70590688061,-74.00860938335,101.0,1.0,700.0,1001004.0,1000400003.0,MN25
40362869,SHASHEMENE INT'L RESTAURANT,Caribbean,Brooklyn,195,EAST   56 STREET,11203.0,40.651983222786,-73.924574944152,317.0,41.0,93800.0,3103101.0,3047040001.0,BK96
40363098,DUNKIN',Donuts,Brooklyn,56,COURT STREET,11201.0,40.692163791677,-73.991172430005,302.0,33.0,900.0,3397831.0,3002657502.0,BK09
40363298,CAFE METRO,American,Manhattan,625,8 AVENUE,10018.0,40.756185423077,-73.99056473378499,104.0,3.0,11500.0,1083268.0,1010320029.0,MN15
40363426,LEXLER DELI,Sandwiches/Salads/Mixed Buffet,Manhattan,405,LEXINGTON AVENUE,10174.0,40.751816337574,-73.975760108448,106.0,4.0,9200.0,1036156.0,1012970023.0,MN19
40363427,BAGELS N BUNS,Delicatessen,Staten Island,2491,VICTORY BOULEVARD,10314.0,40.610267863828,-74.146401210286,501.0,50.0,18901.0,5000000.0,5004860001.0,SI07
40363565,HOT BAGELS,Bagels/Pretzels,Queens,7905,METROPOLITAN AVENUE,11379.0,40.71320780297,-73.8741022867,405.0,30.0,65703.0,4437624.0,4030690069.0,QN21
40363630,LORENZO & MARIA'S KITCHEN,Continental,Manhattan,1418,THIRD AVENUE,10028.0,40.775281106430995,-73.95657589237,108.0,5.0,14000.0,1047523.0,1015090035.0,MN40
40363685,BERKELEY,American,Manhattan,437,MADISON AVENUE,10022.0,40.757511728367,-73.975826609964,105.0,4.0,10200.0,1035455.0,1012850021.0,MN17
40363834,CARVEL ICE CREAM,"Ice Cream, Gelato, Yogurt, Ices",Staten Island,1111,HYLAN BOULEVARD,10305.0,40.598553130746005,-74.07964600817701,502.0,50.0,6400.0,5047319.0,5032270002.0,SI14
40363920,NEW GOLDEN BILLION,Chinese,Brooklyn,976,RUTLAND ROAD,11212.0,40.662140594575,-73.92718021322,317.0,41.0,88200.0,3099886.0,3046110006.0,BK96
